date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:21	1792/1792	---M--	200	added ('OK')	image/png	etag:%22700-5897d6c278580%22	https://smart-school.in/assets/admin/assets/img/class-section.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/class-section.png	(from https://smart-school.in/feature)
15:25:21	2612/2612	---M--	200	added ('OK')	image/png	etag:%22a34-5897d6a7c4680%22	https://smart-school.in/assets/admin/assets/img/database.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/database.png	(from https://smart-school.in/feature)
15:25:21	2438/2438	---M--	200	added ('OK')	image/png	etag:%22986-5897d6c090100%22	https://smart-school.in/assets/admin/assets/img/print.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/print.png	(from https://smart-school.in/feature)
15:25:22	2206/2206	---M--	200	added ('OK')	image/png	etag:%2289e-5897d6c460a00%22	https://smart-school.in/assets/admin/assets/img/accounting.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/accounting.png	(from https://smart-school.in/feature)
15:25:22	2105/2105	---M--	200	added ('OK')	image/png	etag:%22839-5897d6c278580%22	https://smart-school.in/assets/admin/assets/img/sms.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/sms.png	(from https://smart-school.in/feature)
15:25:22	2373/2373	---M--	200	added ('OK')	image/png	etag:%22945-5897d6b51e600%22	https://smart-school.in/assets/admin/assets/img/manual.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/manual.png	(from https://smart-school.in/feature)
15:25:23	2055/2055	---M--	200	added ('OK')	image/png	etag:%22807-5897d6b51e600%22	https://smart-school.in/assets/admin/assets/img/paypal.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/paypal.png	(from https://smart-school.in/feature)
15:25:23	2208/2208	---M--	200	added ('OK')	image/png	etag:%228a0-5897d6ca19780%22	https://smart-school.in/assets/admin/assets/img/aesthetically.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/aesthetically.png	(from https://smart-school.in/feature)
15:25:25	233039/233039	---M--	200	added ('OK')	image/png	etag:%2238e4f-5897d6cdea080%22	https://smart-school.in/assets/admin/assets/img/features.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/features.png	(from https://smart-school.in/demo)
15:25:25	58966/58966	---M--	200	added ('OK')	image/png	etag:%22e656-5897d6e0fcd80%22	https://smart-school.in/assets/admin/assets/img/feature/admission.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/admission.png	(from https://smart-school.in/how-it-work)
15:25:26	79306/79306	---M--	200	added ('OK')	image/png	etag:%22135ca-5897d6d1ba980%22	https://smart-school.in/assets/admin/assets/img/feature/promote.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/promote.png	(from https://smart-school.in/how-it-work)
15:25:26	77718/77718	---M--	200	added ('OK')	image/png	etag:%2212f96-5897d6d58b280%22	https://smart-school.in/assets/admin/assets/img/feature/feescollection.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/feescollection.png	(from https://smart-school.in/how-it-work)
15:25:26	33565/33565	---M--	200	added ('OK')	image/png	etag:%22831d-5897d6cfd2500%22	https://smart-school.in/assets/admin/assets/img/feature/feesdiscount.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/feesdiscount.png	(from https://smart-school.in/how-it-work)
15:25:27	58846/58846	---M--	200	added ('OK')	image/png	etag:%22e5de-5897d6dd2c480%22	https://smart-school.in/assets/admin/assets/img/feature/feesallotment.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/feesallotment.png	(from https://smart-school.in/how-it-work)
15:25:27	49529/49529	---M--	200	added ('OK')	image/png	etag:%22c179-5897d6d3a2e00%22	https://smart-school.in/assets/admin/assets/img/feature/addsiblings.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/addsiblings.png	(from https://smart-school.in/how-it-work)
15:25:27	92747/92747	---M--	200	added ('OK')	image/png	etag:%2216a4b-5897d6d1ba980%22	https://smart-school.in/assets/admin/assets/img/feature/collectfess.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/collectfess.png	(from https://smart-school.in/how-it-work)
15:25:27	94146/94146	---M--	200	added ('OK')	image/png	etag:%2216fc2-5897d6d773700%22	https://smart-school.in/assets/admin/assets/img/feature/searchstudent.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/searchstudent.png	(from https://smart-school.in/how-it-work)
15:25:28	58884/58884	---M--	200	added ('OK')	image/png	etag:%22e604-5897d6d3a2e00%22	https://smart-school.in/assets/admin/assets/img/feature/studentcategories.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/studentcategories.png	(from https://smart-school.in/how-it-work)
15:25:28	52746/52746	---M--	200	added ('OK')	image/png	etag:%22ce0a-5897d6d3a2e00%22	https://smart-school.in/assets/admin/assets/img/feature/profilesystem.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/profilesystem.png	(from https://smart-school.in/how-it-work)
15:25:28	92883/92883	---M--	200	added ('OK')	image/png	etag:%2216ad3-5897d6d58b280%22	https://smart-school.in/assets/admin/assets/img/feature/schoolexpense.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/schoolexpense.png	(from https://smart-school.in/how-it-work)
15:25:28	67659/67659	---M--	200	added ('OK')	image/png	etag:%221084b-5897d6d3a2e00%22	https://smart-school.in/assets/admin/assets/img/feature/stusentattendance.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/stusentattendance.png	(from https://smart-school.in/how-it-work)
15:25:29	58220/58220	---M--	200	added ('OK')	image/png	etag:%22e36c-5897d6cfd2500%22	https://smart-school.in/assets/admin/assets/img/feature/examination.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/examination.png	(from https://smart-school.in/how-it-work)
15:25:29	43439/43439	---M--	200	added ('OK')	image/png	etag:%22a9af-5897d6d95bb80%22	https://smart-school.in/assets/admin/assets/img/feature/examschedule.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/feature/examschedule.png	(from https://smart-school.in/how-it-work)
